restaurant,tenant,domain,phone,email,cnpj,address,instagram
"Vuca Solution - Frente de Loja","acaidoninja","acaidoninja.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","acaverna","acaverna.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","bacanas","bacanas.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","baladamix","baladamix.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","barfrangogaucho","barfrangogaucho.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","bistro1890","bistro1890.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","blendperfeito","blendperfeito.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","brago","brago.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","buldogs","buldogs.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","bullshamburgueria","bullshamburgueria.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","caseratto","caseratto.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","chezlami","chezlami.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","clubedacana","clubedacana.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","confrariadocamarao","confrariadocamarao.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","crifhotdogbeer","crifhotdogbeer.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","demonstracaovuca","demonstracaovuca.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","deumsalve","deumsalve.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","faceburg","faceburg.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","floresta","floresta.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","fogoebrasa","fogoebrasa.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","gamafood","gamafood.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","grupocurio","grupocurio.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","gruponativas","gruponativas.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","gruposushivix","gruposushivix.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","helenanolleto","helenanolleto.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","jessicagourmet","jessicagourmet.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","kanpaiblue","kanpaiblue.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","kozu","kozu.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","leosburguer","leosburguer.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","lifeboxburger","lifeboxburger.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","mandaka","mandaka.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","megapastel","megapastel.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","miqueiasfastfood","miqueiasfastfood.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","operacafebistro","operacafebistro.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","ori","ori.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","pastelariakipasteis","pastelariakipasteis.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","pirybar","pirybar.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","quintaldojaja","quintaldojaja.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","restaurantebotelli","restaurantebotelli.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","ryori","ryori.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","sacadabar","sacadabar.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","santavila","santavila.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","takitaki","takitaki.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","velhotexas","velhotexas.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","villacarioca","villacarioca.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"Vuca Solution - Frente de Loja","zer062ois","zer062ois.vucasolution.com.br","5562998207357; 1559339352; 1552566626; 15172481354; 14142350774","","","","@vuca.solution"
"VUCA Solution - ERP para Restaurantes | Aumente sua margem em até 30%","materiais","materiais.vucasolution.com.br","17692042629; 17691984254","","","",""
